id,course,rating,강원도,경상북도,경상남도,전라북도,전라남도,충청도,제주도,경기도,서울,인천,대전,부산,광주,울산,대구,별,물,나무,유적지,맛집여행,호캉스,감성카페,애견동반ㅇ,봄,여름,가을,겨울
1,"유진게찜,엘꼬시네로(스페인음식)",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
1,"동명정류장카페,바다를본돼지",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
1,"몽상드애월카페,아기해녀의집",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
1,대전운주계곡,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
5,"양양쏠비치송이(한식),호텔내미술관",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
5,가평선어치고개집,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
5,"양양파마씨,파마씨펍",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
5,"해운대다솥(한식),카페루프탑,로컬102(펍),라라랜드",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
5,청평팀어거스터수상레저,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,"부산본전돼지국밥,초랑밀면,신발원",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
5,"인천차이나타운유가복,흑백사진관",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
5,"청도빠삐용캠프(수제버거),와인터널",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
5,"청도읍성,꽃자리(한옥카페)",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
5,"대구중앙떡볶이,오차야미테",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
5,"대구엘아르카레푸스진천점,단골식당(석쇠불고기),김광석길,루프탑카페편수성",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
5,"전주에루화본점,다기양조장",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
5,"전주아원고택,삼백집본점,한옥마을",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
5,"당진아이미술관,왜목마을해수욕장,빙빙반점",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
5,"울산주전몽돌해변,당사해양낚시공원,태화강국가정원,십대리숲",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
5,"안성금광호수공원,까페호미",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
5,"대구김광석길,그린곱창막창",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
5,"양평빠빠에피카페,사나산아(한식)",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
5,"양평두물머리연핫도그,오르다온",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
3,"서귀포협재해변,새별오름,함덕카페3535.1",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1
3,"양평용문산관광단지,양평더그림카페,아우름의식탁",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
3,"단양한옥마을,단양카페산,도담삼봉,만천하스카이워크",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
3,"해운대이기대해안산책로,풍원장",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1
3,"서귀포어애랑,한림공원,앤트러사이트,성이시돌목장,송악산둘레길,앙끄레국수,황우지해안",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
3,"서귀포카페바다다,용눈이오름,어멍이해녀,세화해변,큰엉해안경승지,애월",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
3,"남해다랭이마을,상주은모래비치,독일마을,양모리학교",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
3,"거제바람의언덕,거제몽돌해변",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
3,"양양멍비치,사랑대게",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
3,"송도솔찬공원,반메이,센트럴파크",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
3,"강릉강문해변,대관령순수양떼목장",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
3,"강릉남애항스카이워크,둔내역한우",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
4,"강릉안목해변,강릉짬뽕순두부동화가든본점,경포해변,카페툇마루",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
4,"강릉허균허난설헌기념관,강문해변",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
4,"춘천소양강스카이워크,춘천시풍물시장,대원당,춘천의암호스카이워크",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
4,"속초아바이마을,바다정원,통일전망대",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
4,"춘천이상원미술관,김유정폐역",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
4,"속초대포항튀김골목,씨씨카페",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
4,"강릉소돌아들바위공원,주문진항,도깨비촬영지,보헤미안박이추커피,사천포구,강릉커피콩빵,강릉카페거리,하슬리아트월드,정동진해변,정동심곡바다부채길",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
4,강릉하슬라아트월드,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
4,"인천월미바다열차,차이나타운,송월동동화마을,월미도,북성포구",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,포천전통술박물관산사원,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,"인천무의도,실미도해수욕장,하나개해수욕장",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,"광명동굴,삼백돈돈가츠",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
4,"양평두물머리,나인블럭,테레로사,대복식당불고기가게",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1
4,"가평스위스테마파크,달과6펜스,금강산숯불닭갈비",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
4,"송도안스베이커리,경복궁불고기",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
4,"안면도카페바다,대양횟집",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
4,태안안면도수목원,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,"태안전통시장,청산포수목원",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
4,"태안안면도레포츠월드,꽃지해수욕장",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,"삼척목호등대,환선굴,추암촛대바위",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
4,"제천청풍호반케이블카비봉산역,청풍문화재단지,덕주사,금월봉",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
4,"제천배론성지,의림지",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
4,"남해섬이정원,남해독일마을,보리암",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
4,"부산깡깡이예술마을,부산자갈치시장,송도해상케이블카송도스카이파크,부평깡통시장,태종대관광유람선",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,"부산정란각,초량이바구길,부평깡통시장,보수동책방골목,국제시장,자갈치시장,흰여울문화마을,감천문화마을",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
4,"목포연희네슈퍼,서산동시화골목길,갓바위,목포근대역사본관,오포대,유달유업",7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
4,"전주한옥마을,오목대,자만벽화마을,전주남부시장",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
4,"군산선유도,초원사진관,국제반점,이성당,군산근대역사박물관,새만금방조제",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1
4,"통영동피랑벽화마을,통영케이블카,서피랑마을,서호시장,미래사",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
4,"여수하멜등대,고소동벽화마을",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,"경주핑크물리,첨성대,불국사,한국대중음악박물관,삼릉숲",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
4,"광주펭귄마을,송정떡갈비,1913송정역시장,청춘발산마을",9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
4,"임실김용택시인문학관,영화아름다운시절촬영지,강변사리마을캠핑장,임실치즈테마파크",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
4,"제주숨비정원,안돌오름",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4,제주도착한전복,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
4,"제주도황우지해안,춘심이네,가배카페",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
3,"광화문익선동한옥마을,미담헌",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
3,"DDP,광장시장",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,"을지로힙지로,노가리골목,만선호프",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"종로이화미을,광장시장,익선동한옥마을",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,"남산둘레길,남산케이블카,남산타워",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"서울역문화역서울284,서울로7017",8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3,"대학로,이화마을,광장시장,익선동,창덕궁,청계천",7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"광화문코피티암,통인시장도시락카페",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"대학로민송아트홀,마로니에공원",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"구룡포호미곶,영일대해수욕장,구룡포",9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"경주황리단길경주피자,교촌마을,대릉원,첨성대",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
3,"울산대왕암공원,젊음의거리,짚신매우갈비찜,장생포고래박물관",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"울산태화강국가정원,십리갈대숲,간절곶,떡바우횟집,헤이메르카페",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1
3,"하동매암제다원,매암차박물관,토지촬영지",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
3,"진주성,진양호전망대,황포냉면",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
3,"하동지리산,십리벚꽃길,화개장터,섬진강",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3,"해운대감천달빛도너츠,소행성B612",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"남포다누비열차,영도등대,흰여울문화마을,깡깡이예술마을",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"해운대포장마차촌,전통시장",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"해운대오륙도,해운대해수욕장,동백섬,더베이101,못골시장,이가네떡볶이",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"목포바다분수,목포대교,평화광장",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"목포끝집포차,밤바다포차,목포근대역사관,유달산",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1
3,"담양소쇄원,제월당",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
3,"담양천,담빛예술창고,담양국수거리",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
3,"담양죽녹원8길,메타프로방스",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
3,"담양명옥헌원림,퀸즈캐슬,대숲글램핑장",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
3,"진안홍삼스파,마이산탑사",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3,"여수향일암,엑스포공원",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"완도장보고기념관,청해진유적지장도",7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
3,"완도정도리구계동,수목원,완도타워,완도수산시장",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"목포근대역사관,노적봉,김대중노벨평화상기념관",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3,"목포영산강,옥암수변공원",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"목포김가네해물한정식,근대역사관",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
3,"영월선암마을한반도뗏목마을,선돌,단종유배지청령포",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3,"속초광포호,왕곡마을,송지호관망타워,송지호해수욕장",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"양양휴휴암,하조대등대,하조대해수욕장",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"평창대관령하늘목장,허브나라",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
3,"강릉오죽헌,커피거리,안목해변,초당순두부",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1
3,"강릉경포대,경포호,경포해변",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
3,"동해망상해수욕장,논골담길,등대오름길",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"동해묵호등대,등대가페,묵호등대출렁다리",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
3,"대천리리스블루,대천해수욕장,풍미꽃게장게국지",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"충주호,탄금대,탄금호무지개다리,커피박물관",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
3,"홍성남당항,홍성군조류탐사과학관,그림이있는정원",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"청주문의문화재단지,대청호미술관,운보의집,미스터선샤인촬영지,팔봉제빵점",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
3,"청주청남대,대청호수",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
3,"보령대한국정원,희랑",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"보령대오천항,오천성,대천항수산시장,대천해수욕장",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"제주애월카페거리,애월봄날,한담산책로,곽지해수욕장",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
3,"제주흑돼지가있는풍경,구담돌염전,수목원야시장",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"한라산둘레길사려니숲길,비자림국숫집,천년의숲",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1
3,"성산전망좋은집,평대리해변,세화해변,성산제주공감",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"성산광치기해변,유채밭,카페드루쿰다,월정리해변,김녕해수욕장,카페델문도,오드랑베이커리",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
3,"서귀포산호해수욕장,하고수동해변,검멀레해변,우도동굴,우도땅콩아이스크림",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,제주본태박물관,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"광장시장부촌육회,순희네빈대떡,세운상가,익선동한옥거리,청계광장",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,"안녕인사동,문화역서울284",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
3,"북촌한옥마을,삼청동호아드카페,호아드레스토랑,호아드갤러리",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
3,"동인천카페브라운핸즈개항로,신포국제시장닭강정,자유공원,일본근대화거리,인천차이나타운,송월동동화마을",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"종로에일당,만홧가게,서울커피,망원동티라미수,동백양과점",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"종로통인시장기름떡볶이,도시락카페,효자베이커리,대오서점,옥인오락실",10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"여수순천만낙안읍성,드라마세트장,녹차밭",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
3,"진주일리카페구석,순천낙안읍성,드라마세트장,통영동피랑마을벽화,케이블카",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"군산복성루,히로쓰가옥,동국사,이성당,철길마을",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
3,"전주전동성당,한옥마을,오목대",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
3,"전주투모루오카페,베테랑칼국수,전주한옥마을",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
3,"동해논골담길,목호등대,하얀등대,벽화마을",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"영월아리랑래프팅,동강",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"단양소노문,고수동굴,도담삼봉,석문",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3,"영주부석사,종점식당,안동하회마을,안동찜닭",9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
3,"대구중앙떡볶이,한의학박물관,각시탈촬영지",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
3,"포항환여횟집,북부해수욕장",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
3,"강화도마니산,전등사",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3,"포천산정호수,포천이동갈비",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,"인천만다복,자유공원",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3,"송도커넬워크,송도센트럴파크",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,"강화도해든뮤지움,해든미술관",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3,"통영달아전망대,동피랑벽화마을커피랑",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
3,"통영어촌싱싱회해물탕,우니코카페",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,"안동구시장안동찜닭,풍류예술난장,하회마을",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
